model,epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
baseline_69,1,0.6924144236937814,0.6909825801849365,0.60801393728223,0.6012658227848101,0.0001
baseline_69,2,0.6907154891801917,0.686173141002655,0.5850174216027875,0.5886075949367089,0.0001
baseline_69,3,0.6891787363135297,0.6810293197631836,0.5355400696864111,0.6012658227848101,0.0001
baseline_69,4,0.6860233778538911,0.6697574853897095,0.5668989547038328,0.6518987341772152,0.0001
baseline_69,5,0.6750607127728669,0.6309629678726196,0.581184668989547,0.7088607594936709,0.0001
baseline_69,6,0.6481682502705118,0.5788164734840393,0.6665505226480837,0.7151898734177216,0.0001
baseline_69,7,0.6295555830001831,0.5624406337738037,0.6738675958188153,0.7278481012658228,0.0001
baseline_69,8,0.6209206062814464,0.5480289459228516,0.6857142857142857,0.7088607594936709,0.0001
baseline_69,9,0.6134377406991046,0.5368478298187256,0.6947735191637631,0.7278481012658228,0.0001
baseline_69,10,0.6011494009391122,0.5404605865478516,0.7114982578397212,0.7531645569620253,0.0001
baseline_69,11,0.591147225836049,0.543694794178009,0.7160278745644599,0.7151898734177216,0.0001
baseline_69,12,0.5785758935886881,0.5481542944908142,0.7209059233449477,0.7278481012658228,0.0001
baseline_69,13,0.5847966463669486,0.5352268218994141,0.7240418118466899,0.7278481012658228,0.0001
baseline_69,14,0.5726677179336548,0.5391213893890381,0.7331010452961673,0.7468354430379747,0.0001
baseline_69,15,0.569916721271432,0.5548031330108643,0.7198606271777004,0.7531645569620253,0.0001
baseline_69,16,0.5601434914962106,0.5730806589126587,0.7428571428571429,0.7025316455696202,0.0001
baseline_69,17,0.5816065461739249,0.5441942811012268,0.7268292682926829,0.7531645569620253,0.0001
baseline_69,18,0.5495439443899237,0.5387885570526123,0.7473867595818815,0.7468354430379747,0.0001
baseline_69,19,0.5453199394371199,0.5354135036468506,0.740418118466899,0.7341772151898734,0.0001
baseline_69,20,0.5440159180889959,0.5335322618484497,0.748780487804878,0.759493670886076,0.0001
baseline_69,21,0.5396157995514248,0.5447068810462952,0.7477351916376307,0.7784810126582279,0.0001
baseline_69,22,0.546865569508594,0.5314263701438904,0.7393728222996516,0.7531645569620253,0.0001
baseline_69,23,0.5495051819345226,0.5236334800720215,0.7421602787456446,0.7721518987341772,0.0001
baseline_69,24,0.5396795739298281,0.5230148434638977,0.7480836236933798,0.7658227848101266,0.0001
baseline_69,25,0.536792656649714,0.5175549387931824,0.7445993031358885,0.7658227848101266,0.0001
baseline_69,26,0.5376953184604645,0.5298313498497009,0.7491289198606271,0.759493670886076,0.0001
baseline_69,27,0.5362505614757538,0.5139869451522827,0.7519163763066202,0.7848101265822784,0.0001
baseline_69,28,0.5302356222401494,0.521767795085907,0.7425087108013937,0.7848101265822784,0.0001
baseline_69,29,0.5182302270246588,0.5250779390335083,0.751219512195122,0.7911392405063291,0.0001
baseline_69,30,0.5189615954523501,0.5222948789596558,0.7536585365853659,0.7848101265822784,0.0001
baseline_69,31,0.5220476673996967,0.5136485695838928,0.751567944250871,0.7911392405063291,0.0001
baseline_69,32,0.5084919501905856,0.5075356960296631,0.7543554006968641,0.7341772151898734,0.0001
baseline_69,33,0.5115966589554496,0.536569356918335,0.7588850174216027,0.7721518987341772,0.0001
baseline_69,34,0.51259427614834,0.5062093734741211,0.7473867595818815,0.7278481012658228,0.0001
baseline_69,35,0.5214305157246797,0.5275770425796509,0.743205574912892,0.759493670886076,0.0001
baseline_69,36,0.5140535727791165,0.5438159704208374,0.7554006968641115,0.7721518987341772,0.0001
baseline_69,37,0.5084130129088527,0.4976184070110321,0.7571428571428571,0.7468354430379747,0.0001
baseline_69,38,0.5109728484050088,0.523318350315094,0.7571428571428571,0.7721518987341772,0.0001
baseline_69,39,0.5130500456561213,0.5208482146263123,0.7585365853658537,0.7721518987341772,0.0001
baseline_69,40,0.5043724969677303,0.4971678853034973,0.7634146341463415,0.7531645569620253,0.0001
baseline_69,41,0.5058138953602832,0.4843742549419403,0.7630662020905923,0.7658227848101266,0.0001
baseline_69,42,0.5017311689646348,0.5039339065551758,0.7623693379790941,0.7721518987341772,0.0001
baseline_69,43,0.503397339064142,0.5126998424530029,0.7616724738675958,0.7658227848101266,0.0001
baseline_69,44,0.4999879261721735,0.5058125853538513,0.7641114982578397,0.7531645569620253,0.0001
baseline_69,45,0.4910467526187067,0.5140367746353149,0.7662020905923345,0.759493670886076,0.0001
baseline_69,46,0.4898833904577338,0.4927074909210205,0.7665505226480837,0.7658227848101266,0.0001
baseline_69,47,0.5093611647253451,0.48893871903419495,0.7644599303135888,0.7974683544303798,0.0001
baseline_69,48,0.4949254730473394,0.5077000856399536,0.7662020905923345,0.7784810126582279,0.0001
baseline_69,49,0.48288506528605585,0.5014209151268005,0.7731707317073171,0.7911392405063291,0.0001
baseline_69,50,0.4868558126947154,0.5031949281692505,0.7644599303135888,0.7911392405063291,0.0001
baseline_69,51,0.49076602640359296,0.5108245015144348,0.7766550522648084,0.7658227848101266,0.0001
baseline_69,52,0.48335429637328436,0.5312502384185791,0.7668989547038327,0.7848101265822784,5e-05
baseline_69,53,0.47355311590692273,0.5210552215576172,0.7773519163763066,0.7848101265822784,5e-05
baseline_69,54,0.47657459844713623,0.4801098704338074,0.7738675958188154,0.7531645569620253,5e-05
baseline_69,55,0.4798298478126526,0.5086929202079773,0.767595818815331,0.7848101265822784,5e-05
baseline_69,56,0.4800265249998673,0.5123180150985718,0.7745644599303136,0.7848101265822784,5e-05
baseline_69,57,0.4707110925861027,0.5295518636703491,0.7710801393728223,0.7784810126582279,5e-05
baseline_69,58,0.4759708733662315,0.5103296041488647,0.7731707317073171,0.7848101265822784,5e-05
baseline_69,59,0.4785914887552676,0.518907368183136,0.7696864111498258,0.7784810126582279,5e-05
baseline_69,60,0.47018058792404505,0.5409353971481323,0.7759581881533101,0.7848101265822784,5e-05
