model,accuracy,fail_ratio
Mistral v3 zero shot,0.6133333333333333,0.38666666666666666
Mistral v3 4 shot,0.75,0.25
Mistral v3 8 shot,0.6133333333333333,0.38666666666666666
Mistral v3 12 shot,0.6133333333333333,0.38666666666666666
Mistral v3 4 shot,0.6366666666666667,0.25
llama3 base metrics,0.6533333333333333,0.3466666666666667
llama3 4 shot metrics,0.71,0.29
llama3 8 shot metrics,0.6333333333333333,0.36666666666666664
llama3 12 shot metrics,0.6533333333333333,0.3466666666666667
llama3 base metrics,0.6466666666666666,0.35333333333333333
llama3 4 shot metrics,0.7233333333333334,0.27666666666666667
llama3 8 shot metrics,0.6533333333333333,0.3466666666666667
llama3 12 shot metrics,0.6633333333333333,0.33666666666666667
